title,type,description,listed_in,cast,director,country,release_year,rating,popularity
Disforia,Movie,"Set in the near future against the backdrop of widespread looting and societal collapse, the couple formed by Esther and Tomás and their daughter Say move to their summer house so they can promptly sell it and then flee from their country to France, drawing attention from a ring of voyeurs of real-life torture streamed on the dark web.","Horror, Thriller","Claudia Salas, Fariba Sheikhan, Eloy Azorín, Noah Casas, Ferran Vilajosana",Christopher Cartagena,Unknown,2025,4.833,108.0813
System,Movie,"When Neha Rajvansh, a privileged public prosecutor, meets Sarika Rawat, a courtroom stenographer from a humble background, their lives are thrown into upheaval where power defines truth, blurring the system and raising a question of what justice truly means to them.",Thriller,"Sonakshi Sinha, Jyothika, Ashutosh Gowariker, Adinath Kothare, Aashriya Mishra",Ashwiny Iyer Tiwari,Unknown,2026,7.5,105.014
Mortal Game,Movie,"A group of hunters travel to a mysterious island to track down a legendary forest creature. They soon realize their guide has set them up as bait, forcing them to confront a highly intelligent predator that terrorizes them one by one.","Horror, Action","Deniella Alexis, Kevin Lloyd Reid, Mark Ettlinger, Madison Caan, Reece Presley",John Lechago,Unknown,2025,4.917,97.6395
Beast,Movie,"MMA legend Patton James, now a commercial fisherman, is pulled back into the cage when his brother is in danger. Reuniting with his old coach Sammy, he commits to one final fight in one championship against the brutal champion Xavier Grau.","Action, Drama","Daniel MacPherson, Luke Hemsworth, Russell Crowe, Mojean Aria, Kelly Gale",Tyler Atkins,Unknown,2026,6.3,95.786
Rape of Love,Movie,"Nicole, nurse in Grenoble, is raped one night by four men. Deeply scarred, emotionally and physically, she thinks she will never recover from the trauma. Following a friend's advice, she decides to file a lawsuit.",Drama,"Nathalie Nell, Alain Fourès, Michèle Simonnet, Pierre Arditi, Daniel Auteuil",Yannick Bellon,Unknown,1978,5.6,108.2565
Dhurandhar,Movie,"A mysterious traveler slips into the heart of Karachi's underbelly and rises through its ranks with lethal precision, only to tear the notorious ISI-Underworld nexus apart from within.","Action, Crime, Thriller","Ranveer Singh, Akshaye Khanna, R. Madhavan, Arjun Rampal, Sanjay Dutt",Aditya Dhar,Unknown,2025,7.138,87.6481
Madness,Movie,"An escaped convicted murderer invades the cottage of a man, his wife and the wife's sister, whereupon he proceeds to torment this already dysfunctional trio with rape and violence.","Thriller, Action, Crime","Joe Dallesandro, Patrizia Behn, Gianni Macchia, Lorraine De Selle, Omero Capanna",Fernando Di Leo,Unknown,1980,4.969,82.6356
Zootopia 2,Movie,"After cracking the biggest case in Zootopia's history, rookie cops Judy Hopps and Nick Wilde find themselves on the twisting trail of a great mystery when Gary De'Snake arrives and turns the animal metropolis upside down. To crack the case, Judy and Nick must go undercover to unexpected new parts of town, where their growing partnership is tested like never before.","Adventure, Animation, Comedy, Family, Mystery","Ginnifer Goodwin, Jason Bateman, Ke Huy Quan, Fortune Feimster, Andy Samberg",Jared Bush,Unknown,2025,7.648,84.135
Kaulayaw,Movie,"Two college schoolmates venture into the world of cybersex to support their needs. They fulfill their fans' sexual fantasy only to realized that they too, are falling for each other.",Drama,"Micaella Raz, Matthew Francisco, Robb Guinto, Adelaide Sojo, Dante Navat",Iar Arondaing,Unknown,2024,5.8,95.4883
After We Fell,Movie,"Just as Tessa's life begins to become unglued, nothing is what she thought it would be. Not her friends nor her family. The only person that she should be able to rely on is Hardin, who is furious when he discovers the massive secret that she's been keeping. Before Tessa makes the biggest decision of her life, everything changes because of revelations about her family.","Drama, Romance","Josephine Langford, Hero Fiennes Tiffin, Carter Jenkins, Louise Lombard, Chance Perdomo",Castille Landon,Unknown,2021,7.005,79.6626
Zero Woman 2,Movie,"When a valuable suitcase is stolen, the mob, petty criminals, and a beautiful agent from the Elite Zero division are pulled into a battle to settle the score.","Action, Thriller","Natsuki Ozawa, Saori Iwama, Kane Kosugi, Hiroyuki Watari, Tomomi Miyauchi",Daisuke Gotô,Unknown,1995,5.0,123.9359
Ladies First,Movie,"An arrogant but charismatic ladies' man finds his life of money, power and casual flings upended when he wakes up in a parallel world dominated by women.","Comedy, Fantasy","Sacha Baron Cohen, Rosamund Pike, Tom Davis, Emily Mortimer, Weruche Opia",Thea Sharrock,Unknown,2026,6.045,71.7287
Bhooth Bangla,Movie,"A man inherits a palace in rural Mangalpur and plans his sister's wedding there, but strange supernatural events and panicked locals force him to investigate the property's mysterious past.","Horror, Comedy","Akshay Kumar, Wamiqa Gabbi, Paresh Rawal, Tabu, Jisshu Sengupta",Priyadarshan,Unknown,2026,6.5,87.2818
La fotógrafa,Movie,"Inna, a young post-mortem photographer, arrives at a remote orphanage in northern Spain to capture the final image of Alejandra, a girl found dead under mysterious circumstances. But as her lens lingers on the tragedy, Inna begins to sense a dark presence within the orphanage's walls-an evil that refuses to remain hidden and threatens to make her its next subject.","Horror, Thriller","Daniela Casas, Noah Casas, Samantha Jaramillo, Leyre Azpiri, Chema Coloma",Carlos Marbán,Unknown,2025,4.0,79.7093
The Shawshank Redemption,Movie,"Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.","Drama, Crime","Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler, Clancy Brown",Frank Darabont,Unknown,1994,8.721,80.3109
Rocky Aur Rani Kii Prem Kahaani,Movie,"Gym-freak brat Rocky falls in love with Rani, who comes from a well-educated Bengali family. Being from polar opposite worlds, the two decide to switch their families to adjust to each other's cultures and backgrounds and to know if their marriage will survive. Rocky and Rani are trapped in a world where they are united by love but divided by families and the ultimate question is will they fit in?","Comedy, Drama, Family, Romance","Alia Bhatt, Ranveer Singh, Jaya Bachchan, Shabana Azmi, Dharmendra",Karan Johar,Unknown,2023,6.201,85.0773
Addicted,Movie,A gallerist risks her family and flourishing career when she enters into an affair with a talented painter and slowly loses control of her life.,"Drama, Thriller","Sharon Leal, Boris Kodjoe, John Newberg, Brandon Gonzales, Cameron Mills",Bille Woodruff,Unknown,2014,5.9,77.9406
Interstellar,Movie,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,"Adventure, Drama, Science Fiction","Matthew McConaughey, Anne Hathaway, Michael Caine, Jessica Chastain, Casey Affleck",Christopher Nolan,Unknown,2014,8.5,74.4364
Shelter,Movie,"A man living in self-imposed exile on a remote island rescues a young girl from a violent storm, setting off a chain of events that forces him out of seclusion to protect her from enemies tied to his past.","Action, Crime, Thriller","Jason Statham, Bodhi Rae Breathnach, Naomi Ackie, Daniel Mays, Harriet Walter",Ric Roman Waugh,Unknown,2026,7.626,65.8241
Mexican Psycho,Movie,"Follows an ""ultra-violent and intelligent"" psychopath who challenges the police by leaving a white paper rabbit at each crime scene, connecting them all.","Thriller, Horror","Adriana Llabrés, Hoze Meléndez, Andrés Almeida, Horacio García Rojas, Ruth Ramos",J. Xavier Velasco,Unknown,2026,7.368,63.2198
Avatar Aang: The Last Airbender,Movie,"Avatar Aang, the world's last Airbender, learns of an ancient power that could save his culture from extinction. With the help of his friends, he embarks on a global quest to find it before it falls into the wrong hands and threatens to upend the peace they sacrificed everything to achieve.","Animation, Action, Adventure, Fantasy","Eric Nam, Dave Bautista, Jessica Matten, Román Zaragoza, Steven Yeun",Lauren Montgomery,Unknown,2026,0.0,69.3414
Worldbreaker,Movie,"Five years ago, a tear in the fabric of reality brought creatures to our world from an alternate dimension bent on our destruction. A father hides his daughter on an island to keep her safe while he prepares her for survival and the battles to come. But when the world is about to break, no place is safe.","Science Fiction, Action, Horror","Billie Boullet, Luke Evans, Milla Jovovich, Mila Harris, Kevin Glynn",Brad Anderson,Unknown,2025,6.033,62.0077
Kartavya,Movie,"With his family's safety at stake and menacing threats closing in, a police officer must decide how far he'll go to uphold his duty.","Crime, Drama, Thriller","Saif Ali Khan, Rasika Dugal, Sanjay Mishra, Saurabh Dwivedi, Zakir Hussain",Pulkit,Unknown,2026,6.471,62.5214
Remarkably Bright Creatures,Movie,"Through unlikely bonds formed during night shifts at a local aquarium, Tova, an elderly widow, learns of a life-changing discovery that may bring her joy and wonder once again.","Drama, Mystery","Sally Field, Lewis Pullman, Colm Meaney, Alfred Molina, Joan Chen",Olivia Newman,Unknown,2026,8.541,65.5422
Deool Band 2,Movie,"The story follows a farmer who decides to question and test his faith, setting off a journey filled with emotional and life-altering moments. At its core, the narrative centers on a woman who tirelessly struggles for her family, facing hardships with resilience, as her path ultimately leads her to confront the very idea of divine power","Comedy, Drama","Mohan Joshi, Snehal Tarde, Mahesh Manjrekar, Pravin Tarde, Prasad Oak",Pravin Tarde,Unknown,2026,0.0,75.788
Colony,Movie,"Professor Se-jeong is thrust into a bloody nightmare when a rapidly mutating virus is released during a biotech conference causing authorities to seal the facility. Trapped inside with no escape, Se-jeong along with a small group of survivors must fight to stay alive while the infected undergo horrific transformations.","Action, Thriller, Horror","Gianna Jun, Koo Kyo-hwan, Ji Chang-wook, Kim Shin-rok, Shin Hyun-been",Yeon Sang-ho,Unknown,2026,6.556,63.7163
Accidental Partners,Movie,Two women discover they were both scammed by the same man (who also got them pregnant). They form an alliance to take revenge.,"Comedy, Romance","Angelique Boyer, Bárbara de Regil, Diego Klein, Lucía Uribe, Isabella Camil",Ihtzi Hurtado,Unknown,2026,9.127,64.7461
The Last Supper,Movie,"In a deserted house, a mysterious man savors an exquisite menu in the company of an unseen guest. From this eerie dinner table, a succession of terrifying stories is revealed-each probing primal fears of hunger, flesh, and survival.",Horror,"Santiago Rios, Nicolás Melian",Aleksandr Boikov,Unknown,2025,10.0,62.5829
From Straight A's to XXX,Movie,"When a change of circumstances leaves Miriam unable to pay her college tuition, she makes a surprising decision: to start performing in adult films, using the pseudonym Belle Knox. Miriam lies to her family and her friends at school, keeping her double life a secret. But soon rumours spread and Miriam becomes the subject of vicious online attacks and unwanted attention. Miriam fights back: she talks to the media, saying her new line of work empowers her as a feminist. But her confident stand has unintended consequences. Miriam is shunned by her conservative family and her colleagues in the adult film world. One impulsive decision has quickly spiralled out of control - and Miriam's problems are just beginning.","Drama, TV Movie","Haley Pullos, Sasha Clements, Judd Nelson, Alyson Bath, Jacky Lai",Vanessa Parise,Unknown,2017,5.843,67.8833
Fuze,Movie,An unexploded WWII bomb is discovered on a busy construction site in the centre of London. Chaos ensues as the military and police begin a mass evacuation against a ticking clock.,"Action, Crime, Drama, Thriller","Aaron Taylor-Johnson, Theo James, Gugu Mbatha-Raw, Elham Ehsas, Sam Worthington",David Mackenzie,Unknown,2026,6.5,66.2483
7 Dogs,Movie,Interpol agent Khalid Al-Azzazi joins forces with Ghali Abu Dawood from the 7 Dogs crime syndicate to fight drug trafficking.,"Action, Comedy","Ahmed Ezz, Karim Abdel Aziz, Monica Bellucci, Tara Emad, Martin Lawrence",Adil El Arbi,Unknown,2026,1.0,68.9416
The Housemaid,Movie,"Trying to escape her past, Millie Calloway accepts a job as a live-in housemaid for the wealthy Nina and Andrew Winchester. But what begins as a dream job quickly unravels into something far more dangerous—a sexy, seductive game of secrets, scandal, and power.","Mystery, Thriller","Sydney Sweeney, Amanda Seyfried, Brandon Sklenar, Michele Morrone, Elizabeth Perkins",Paul Feig,Unknown,2025,7.254,68.4723
Michael Jackson: The Life of an Icon,Movie,"See Michael Jackson, one of the most recognizable and popular entertainers of all time, like never before in the feature-length tribute Michael Jackson: The Life of an Icon. Known to millions of fans worldwide for his record-breaking albums, groundbreaking music videos, mesmerizing dance moves and humanitarian efforts, his true story has never really been told...until now. This unprecedented look into the King of Pop's fascinating life includes all-new interviews with his mother Katherine Jackson as well as siblings Tito and Rebbie Jackson,  his nephew  Jaafar Jackson and niece Tahkyah brings plenty Jackson and Friends ends and music legends such as Smokey Robinson, Dionne Warwick and  his 3 children and many more.","Documentary, Music","Michael Jackson, David Gest, Tito Jackson, Rebbie Jackson, Katherine Jackson",Andrew Eastel,Unknown,2011,8.127,59.5716
Predator: Badlands,Movie,"Cast out from his clan, a young Predator finds an unlikely ally in a damaged android and embarks on a treacherous journey in search of the ultimate adversary.","Action, Science Fiction, Adventure","Elle Fanning, Dimitrius Schuster-Koloamatangi, Ravi Narayan, Michael Homick, Stefan Grube",Dan Trachtenberg,Unknown,2025,7.752,61.1673
Real Steel,Movie,"Charlie Kenton is a washed-up fighter who retired from the ring when robots took over the sport. After his robot is trashed, he reluctantly teams up with his estranged son to rebuild and train an unlikely contender.","Action, Science Fiction, Drama","Hugh Jackman, Dakota Goyo, Evangeline Lilly, Kevin Durand, Anthony Mackie",Shawn Levy,Unknown,2011,7.093,81.3263
