title,type,description,listed_in,cast,director,country,release_year,rating,popularity
The Sheep Detectives,Movie,"George Hardy is a shepherd who reads detective novels to his beloved sheep every night, assuming they can't possibly understand. But when a mysterious incident disrupts life on the farm, the sheep realize they must become the detectives. As they follow the clues and investigate human suspects, they prove that even sheep can be brilliant crime-solvers.","Comedy, Family, Mystery","Hugh Jackman, Julia Louis-Dreyfus, Emma Thompson, Nicholas Braun, Nicholas Galitzine",Kyle Balda,Unknown,2026,7.621,65.4416
Night Silence,Movie,"A theatre actor whose health is failing gets admitted to a nursing home. Soon, he starts having nightmares that seemingly become deceptively real. The so-called nightmares were able to make him live in two parallel dimensions.","Horror, Drama, Mystery","Maciej Damięcki, Zdzisław Wardejn, Włodzimierz Press, Anna Nehrebecka, Anna Korzeniecka",Bartosz M. Kowalski,Unknown,2024,4.667,54.3504
My Dearest Assassin,Movie,"Hunted for her rare blood type, a caged woman vows to fight alongside the assassin she loves to protect their future when an old enemy resurfaces.","Action, Drama, Romance","Pimchanok Luevisadpaibul, Thanapob Leeratanakachorn, Sivakorn Adulsuttikul, Chartayodom Hiranyatithi, Theerachai Wimolchaireuk",Taweewat Wantha,Unknown,2026,8.621,58.9076
The Unknown Man,Movie,"Louis, a Flemish writer, decides to isolate himself at the Côte d’Azur, hoping this place will bring him inspiration.",Drama,"Geert Van Rampelberg, Samuel Suchod, Anna Sacuto, Cathy Ruiz",Anthony Schatteman,Unknown,2021,7.8,64.8026
Ready or Not: Here I Come,Movie,"Moments after surviving an all-out attack from the Le Domas family, Grace discovers she’s reached the next level of the nightmarish game — and this time with her estranged sister Faith at her side. Grace has one chance to survive, keep her sister alive, and claim the High Seat of the Council that controls the world. Four rival families are hunting her for the throne, and whoever wins rules it all.","Thriller, Horror, Comedy","Samara Weaving, Kathryn Newton, Elijah Wood, Sarah Michelle Gellar, Shawn Hatosy",Matt Bettinelli-Olpin,Unknown,2026,7.701,58.0869
Monika,Movie,"Monika is young, beautiful and a virgin. She is only 16 years old, and, beside getting the attention of all her classmates, she also attracts older men. She has a relationship with a boy, Leo, but she doesn't know that he uses to pimp the girls he seduces to rich businessmen. One of Leo's client befriends Monika and becomes so obsessed that he pays Leo to get her. But Monika turns her attention to her art professor, unknowing that he too has his secrets.","Romance, Drama","Gloria Guida, Colette Descombes, Andrés Resino, Gianluigi Chirizzi, Paolo Carlini",Mario Imperoli,Unknown,1974,4.7,59.3348
Greenland 2: Migration,Movie,"Having found the safety of the Greenland bunker after the comet Clarke decimated the Earth, the Garrity family must now risk everything to embark on a perilous journey across the wasteland of Europe to find a new home.","Adventure, Thriller, Science Fiction","Gerard Butler, Morena Baccarin, Roman Griffin Davis, Tommie Earl Jenkins, Trond Fausa Aurvåg",Ric Roman Waugh,Unknown,2026,6.4,63.8755
Ne Zha 2,Movie,"After a catastrophic event leaves their bodies destroyed, Ne Zha and Ao Bing are granted a fragile second chance at life. As tensions rise between the dragon clans and celestial forces, the two must undergo a series of perilous trials that will test their bond, challenge their identities, and decide the fate of both mortals and immortals.","Animation, Action, Fantasy, Adventure","Lu Yanting, Joseph, Han Mo, Chen Hao, Lu Qi",Jiao Zi,Unknown,2025,8.171,68.9547
Sundutan,Movie,"A hole on the wall accidentally connects two women emotionally and physically. Forbidden love, greed, betrayal... what lies beyond the hole? And for how long can they keep covering it up?",Drama,"Allison Ross, Jade Esguerra, Mark Dionisio, Zia Zamora, Primo Angeles",Rodante Pajemna Jr.,Unknown,2026,4.0,58.0072
Dracula,Movie,"In late 15th-century Eastern Europe, Prince Vlad II’s bride is brutally murdered. As a result, he renounces God and damns Heaven itself. Cursed with eternal life, Vlad is reborn as Dracula, an immortal warlord who defies fate in a blood-soaked crusade to wrench his lost love back from death.","Horror, Fantasy, Romance","Caleb Landry Jones, Zoë Bleu Sidel, Christoph Waltz, Matilda De Angelis, Ewens Abid",Luc Besson,Unknown,2025,7.123,58.5461
War of the Worlds,Movie,"Will Radford is a top analyst for Homeland Security who tracks potential threats through a mass surveillance program, until one day an attack by an unknown entity leads him to question whether the government is hiding something from him... and from the rest of the world.","Science Fiction, Thriller","Ice Cube, Eva Longoria, Clark Gregg, Iman Benson, Henry Hunter Hall",Rich Lee,Unknown,2025,4.105,58.527
Virgin,Movie,"Iris, an 18-year old virgin marries Joaquin, a rich widower, because of money. However, when he learns that Iris is not really a virgin, their honeymoon turns to a bloodbath.","Drama, Romance","Dyessa Garcia, Arnold Reyes, Anthony Dabao, Allan Paule, Tanya Gomez",Christopher Novabos,Unknown,2024,6.591,58.1323
Drishyam 3,Movie,"To protect his family and their dark secret, Georgekutty faces an organized new threat. As walls close in and cracks widen, how much more is he willing to sacrifice ?","Crime, Drama, Thriller","Mohanlal, Meena, Siddique, Asha Sarath, Murali Gopy",Jeethu Joseph,Unknown,2026,7.75,57.2973
Bingo Bongo,Movie,"The ape-man, found somewhere in the jungles of Congo, transferred to Milan and named Bingo Bongo. The only one who believes in the human qualities of him is Laura, a woman anthropologist , so their affection for each other even grows to love.",Comedy,"Adriano Celentano, Carole Bouquet, Felice Andreasi, Enzo Robutti, Walter D'Amore",Pasquale Festa Campanile,Unknown,1982,5.707,56.0094
Dime lo que quieres (de verdad),Movie,"Diego and Emilia are a conservative couple with 16 years of marriage who have lost the spark, until Tomás and Betina rescue them and introduce them to the forbidden world, changing what they know about intimacy, relationships, and sex.","Romance, Drama, Comedy","Tony Dalton, Stephanie Cayo, Angie Cepeda, Manolo Cardona, Sebastián Garcia",Bruno Ascenzo,Unknown,2023,7.629,55.8801
KD – The Devil,Movie,"In the early 1970s, a petty criminal Kaali unwittingly involves himself with underworld thugs, catalyzing events beyond his control.","History, Crime, Action, Fantasy","Dhruva Sarja, Shilpa Shetty Kundra, Sanjay Dutt, Reeshma Nanaiah, V. Ravichandran",Prem,Unknown,2026,5.0,55.7937
